Sample in Buffer,Sample in Window,TRIGGER,example_top/Read_Fifo_wusdw_o[7:0],example_top/CountRead_tem[31:0],example_top/CountWrite_tem[31:0],example_top/Read_Fifo_rusdw_o[10:0],example_top/app_wdf_data[127:0],example_top/app_addr[28:0],example_top/Write_Fifo_Out[127:0],example_top/state1[3:0],example_top/Write_Fifo_rusdw_o[7:0],example_top/state[3:0],example_top/app_rd_data[127:0],example_top/app_addr_begin[28:0],example_top/Write_Fifo_datain[7:0],example_top/ddr3_wr_data[127:0],example_top/app_rd_data_valid,u_ila_0_app_rdy,example_top/ddr3_allwr_flag,example_top/ddr3_oneperiod_flag,example_top/ddr3_onewr_flag,example_top/ddr3read_en,example_top/ddr3write_en,example_top/OnePeriod_flag,example_top/Period_flag,example_top/ProsessIn,example_top/ProsessIn1,example_top/Read_Fifo_empty,example_top/Read_Fifo_full,example_top/Read_Fifo_in_en1,example_top/Read_Fifo_rden,example_top/Read_Fifo_rst,example_top/Read_Fifo_wren,example_top/Read_Over_flag,example_top/StartSample1,example_top/Write_Fifo_empty,example_top/Write_Fifo_full,example_top/WriteSign
391,391,0,0,73000000,c6024693,1,840288028c029002940298029e469373,00028002,09d009e009f000000000000000020000,0,9c,0,000000012349b9800980099009a009b0,013c013e,d0,00000000100980099009a009b009c009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,392,0,0,73000000,c8024693,1,840288028c029002940298029e469373,00028002,09d009e009f000000000000000020000,0,9c,0,000000012349b9800980099009a009b0,013c013e,d0,00000000100980099009a009b009c009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,393,0,0,73000000,cb024693,2,840288028c029002940298029e469373,00028002,09d009e009f000000000000000020000,0,9c,0,000000012349b9800980099009a009b0,013c013e,d0,00000000100980099009a009b009c009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,394,0,0,74000000,cd024693,2,a402a802ac02b002b402b802be469374,0002a002,0a500a600a7000000000000000020000,0,a4,0,000000012349ba000a000a100a200a30,014c014e,50,00000000100a000a100a200a300a400a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,395,0,0,75000000,d0024693,1,c402c802cc02d002d402d802de469375,0002c002,0ad00ae00af000000000000000020000,0,ac,0,000000012349ba800a800a900aa00ab0,015c015e,d0,00000000100a800a900aa00ab00ac00a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,396,0,0,75000000,d2024693,0,c402c802cc02d002d402d802de469375,0002c002,0ad00ae00af000000000000000020000,0,ac,0,000000012349ba800a800a900aa00ab0,015c015e,d0,00000000100a800a900aa00ab00ac00a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,397,0,0,75000000,d5024693,1,c402c802cc02d002d402d802de469375,0002c002,0ad00ae00af000000000000000020000,0,ac,0,000000012349ba800a800a900aa00ab0,015c015e,d0,00000000100a800a900aa00ab00ac00a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,398,0,0,75000000,d7024693,1,c402c802cc02d002d402d802de469375,0002c002,0ad00ae00af000000000000000020000,0,ac,0,000000012349ba800a800a900aa00ab0,015c015e,d0,00000000100a800a900aa00ab00ac00a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,399,0,0,75000000,da024693,1,c402c802cc02d002d402d802de469375,0002c002,0ad00ae00af000000000000000020000,0,ac,0,000000012349ba800a800a900aa00ab0,015c015e,d0,00000000100a800a900aa00ab00ac00a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,400,0,0,75000000,dc024693,2,c402c802cc02d002d402d802de469375,0002c002,0ad00ae00af000000000000000020000,0,ac,0,000000012349ba800a800a900aa00ab0,015c015e,d0,00000000100a800a900aa00ab00ac00a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,401,0,0,76000000,df024693,2,e402e802ec02f002f402f802fe469376,0002e002,0b500b600b7000000000000000020000,0,b4,0,000000012349bb000b000b100b200b30,016c016e,50,00000000100b000b100b200b300b400b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,402,0,0,77000000,e1024693,1,040308030c031003140318031e469377,00030003,0bd00be00bf000000000000000020000,0,bc,0,000000012349bb800b800b900ba00bb0,017c017e,d0,00000000100b800b900ba00bb00bc00b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,403,0,0,77000000,e4024693,1,040308030c031003140318031e469377,00030003,0bd00be00bf000000000000000020000,0,bc,0,000000012349bb800b800b900ba00bb0,017c017e,d0,00000000100b800b900ba00bb00bc00b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,404,0,0,77000000,e6024693,1,040308030c031003140318031e469377,00030003,0bd00be00bf000000000000000020000,0,bc,0,000000012349bb800b800b900ba00bb0,017c017e,d0,00000000100b800b900ba00bb00bc00b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,405,0,0,77000000,e9024693,1,040308030c031003140318031e469377,00030003,0bd00be00bf000000000000000020000,0,bc,0,000000012349bb800b800b900ba00bb0,017c017e,d0,00000000100b800b900ba00bb00bc00b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,406,0,0,77000000,eb024693,2,040308030c031003140318031e469377,00030003,0bd00be00bf000000000000000020000,0,bc,0,000000012349bb800b800b900ba00bb0,017c017e,d0,00000000100b800b900ba00bb00bc00b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,407,0,0,78000000,ee024693,2,240328032c033003340338033e469378,00032003,0c500c600c7000000000000000020000,0,c4,0,000000012349bc000c000c100c200c30,018c018e,50,00000000100c000c100c200c300c400c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,408,0,0,79000000,f0024693,1,440348034c035003540358035e469379,00034003,0cd00ce00cf000000000000000020000,0,cc,0,000000012349bc800c800c900ca00cb0,019c019e,d0,00000000100c800c900ca00cb00cc00c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,409,0,0,79000000,f3024693,1,440348034c035003540358035e469379,00034003,0cd00ce00cf000000000000000020000,0,cc,0,000000012349bc800c800c900ca00cb0,019c019e,d0,00000000100c800c900ca00cb00cc00c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,410,0,0,79000000,f5024693,1,440348034c035003540358035e469379,00034003,0cd00ce00cf000000000000000020000,0,cc,0,000000012349bc800c800c900ca00cb0,019c019e,d0,00000000100c800c900ca00cb00cc00c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,411,0,0,79000000,f8024693,1,440348034c035003540358035e469379,00034003,0cd00ce00cf000000000000000020000,0,cc,0,000000012349bc800c800c900ca00cb0,019c019e,d0,00000000100c800c900ca00cb00cc00c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,412,0,0,79000000,fa024693,1,440348034c035003540358035e469379,00034003,0cd00ce00cf000000000000000020000,0,cc,0,000000012349bc800c800c900ca00cb0,019c019e,d0,00000000100c800c900ca00cb00cc00c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,413,0,0,79000000,fd024693,2,440348034c035003540358035e469379,00034003,0cd00ce00cf000000000000000020000,0,cc,0,000000012349bc800c800c900ca00cb0,019c019e,d0,00000000100c800c900ca00cb00cc00c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
